<答案>:
毛泽东在不同历史时期的军事运筹才能主要表现在以下几个方面：

### 土地革命战争时期
- **战略分析**：科学地分析战略形势，确定以农村包围城市的斗争道路。这一战略选择在当时的环境下具有深远的意义，为革命力量的壮大和发展奠定了基础。

### 抗日战争时期
- **敌我力量对比**：深入分析敌我力量对比，确定了持久战胜敌人的战略方针。这一战略不仅为抗日战争的最终胜利指明了方向，也为全国范围内的抗战提供了有力的支持。

### 解放战争时期
- **战争进程计算**：计算战争进程，确定在3～5年内从根本上消灭国民党军队，推翻国民党反动统治。这一精准的预测和规划为解放战争的胜利提供了明确的时间表和目标。

### 作战理论与原则
- **提出作战理论原则**：利用作战经验和大量统计数据，提出了具体的作战理论原则，并将一些重要的数量依据直接纳入原则体系，指导作战实践。这些理论原则不仅在当时起到了重要作用，也为后来的军事实践提供了宝贵的参考。

<原文依据>:
1. "土地革命战争时期，科学地分析战略形势，确定以农村包围城市的斗争道路；"
2. "抗日战争时期，分析敌我力量对比，确定持久战胜敌人；"
3. "解放战争时期，计算战争进程，确定在3～5年内从根本上消灭国民党军队，推翻国民党反动统治等。"
4. "此外，毛泽东还利用作战经验及大量统计数据，提出作战理论原则，并把一些重要的数量依据直接纳入原则体系，指导作战。"
